farms_id,ponds_id,cycles_id,province,regency,timezone,length,width,deep,total_seed,started_at,finished_at,area,padat_tebar,cycle_day_count,count_feed,sum_feed_weight,count_fasting,sum_size_per_kg,sum_weight_biomassa,sum_biomassa,avg_morning_temperature,avg_evening_temperature,avg_morning_do,avg_evening_do,avg_morning_salinity,avg_evening_salinity,avg_morning_pH,avg_evening_pH,avg_transparency,avg_ammonia,avg_nitrate,avg_nitrite,avg_alkalinity,avg_hardness,avg_calcium,avg_magnesium,avg_carbonate,avg_bicarbonate,avg_tom,avg_total_plankton,ADG,SR,FCR
8393,39725,15434,JAWA BARAT,CIREBON,+07:00,38.0,18.0,1.0,75000,2018-06-08 00:00:00.000000 UTC,2018-09-26 00:00:00.000000 UTC,684.0,109.64912280701755,110,108,1656.1999999999989,1.0,63.0,300.0,18900.0,,,,,,,8.0,8.3,43.5,,,,,,,,,,,,0.17380423280423282,25.2,5.5206666666666626
10239,38470,15067,JAWA TIMUR,JEMBER,+07:00,33.0,33.0,1.0,100000,2023-01-21 00:00:00.000000 UTC,2023-04-02 00:00:00.000000 UTC,700.0,142.85714285714286,71,222,468.90000000000009,4.0,350.0,173.0,60550.0,29.184723684210525,31.177291666666672,4.6268815789473683,5.9637916666666664,15.308605263157895,14.601277777777778,7.9477763157894712,7.58,15.0,,,,,,,,,,,,0.067857142857142852,60.550000000000004,2.7104046242774573
10255,32505,15773,JAWA TIMUR,JEMBER,+07:00,25.0,30.0,1.5,75000,2022-04-29 00:00:00.000000 UTC,2022-07-22 00:00:00.000000 UTC,1500.0,50.0,84,283,730.30999999999972,1.0,80.0,95.8,7664.0,27.835690763048188,29.539054878048773,5.2746506024096389,7.1355731707317078,22.967570281132531,22.923457317073176,7.7121566265060242,7.9711428571428575,,0.041428571428571426,,0.99242857142857133,139.71428571428572,4620.0,740.0,3880.0,,138.0,58.048,339166.66666666669,0.19,10.218666666666666,7.6232776617954041
9789,19637,20664,KEPULAUAN BANGKA BELITUNG,BANGKA,+07:00,20.0,15.0,1.3,150000,2021-10-08 00:00:00.000000 UTC,2022-01-05 00:00:00.000000 UTC,300.0,500.0,89,84,1658.3000000000004,5.0,88.0,76.93,6769.84,28.766666666666666,30.255555555555546,4.76,4.6051388888888889,28.859154929577475,28.845070422535215,7.8957746478873219,8.18695652173913,30.902777777777786,,,,,,,,,,,,0.12999999999999998,4.5132266666666672,21.555959963603279
6081,36293,16052,JAWA TENGAH,CILACAP,+07:00,65.0,62.0,1.0,340200,2022-10-14 00:00:00.000000 UTC,2023-02-02 00:00:00.000000 UTC,4030.0,84.416873449131515,111,492,6729.5,6.0,168.0,3400.5,186433.80000000002,27.859756097560968,30.092261904761912,5.3670731707317065,5.7023529411764713,24.444444444444443,23.2,7.7742857142857158,8.127272727272727,41.611111111111128,,,,,,,,,,,,0.21779761904761905,54.801234567901233,1.9789736803411262
6142,32185,19366,ACEH,PIDIE JAYA,+07:00,35.0,31.4,1.0,100000,2022-06-24 00:00:00.000000 UTC,2022-10-03 00:00:00.000000 UTC,1015.0,98.522167487684726,101,451,1647.9,0.0,104.0,565.0,29380.0,27.023757575757564,29.45872340425532,4.79688775510204,6.068032258064517,29.678353535353537,29.499978723404254,7.8865050505050514,8.1769166666666671,,,,,,,,,,,,,0.26990476190476193,29.38,2.9166371681415932
8503,12664,18673,,,+07:00,36.51,27.39,1.2,76000,2022-02-19 00:00:00.000000 UTC,2022-05-22 00:00:00.000000 UTC,1000.0,76.0,92,394,1399.6000000000017,,48.0,161.7,7761.5999999999995,21.077906976744192,23.919277108433732,,,17.080232558139539,17.210843373493972,8.1140697674418583,,,,,,,,,,,,,,0.21441025641025638,10.212631578947368,8.6555349412492379
1000,23701,19253,JAWA TIMUR,SITUBONDO,+07:00,32.46,24.34,1.5,60000,2021-09-17 00:00:00.000000 UTC,2021-12-11 00:00:00.000000 UTC,790.08,75.941676792223575,85,85,1109.9,1.0,53.0,250.0,13250.0,28.351017441860463,31.920292682926835,5.66322156862353,5.7559573170731682,17.17116472868604,16.560615853658536,7.4116162790697651,7.8049736842105268,,,,,,,,,,,,,0.39385714285714291,22.083333333333332,4.4396
8052,31478,15219,JAWA BARAT,CIREBON,+07:00,32.0,31.25,150.0,202742,2022-06-03 00:00:00.000000 UTC,2022-08-05 00:00:00.000000 UTC,1000.0,202.742,63,228,919.98999999999955,6.0,172.22,322.35,27757.5585,26.591803278688527,29.028813559322028,,,29.451612903225811,,10.690163934426225,8.6016666666666648,48.016129032258071,,,0.0365,111.6153846153846,5376.416666666667,389.75,1211.8333333333333,14.153846153846153,97.461538461538453,90.923076923076934,1313333.3333333333,0.16238095238095243,13.691074617000917,2.8540096168760649
8316,34427,15502,JAWA TENGAH,CILACAP,+07:00,40.0,40.0,1.0,116312,2022-09-19 00:00:00.000000 UTC,2022-11-12 00:00:00.000000 UTC,1600.0,72.695,54,210,535.39999999999964,1.0,233.8,289.1,33795.790000000008,29.107900000000004,32.196553571428574,4.7650818181818169,8.29744642857143,10.559472727272727,9.9753928571428556,7.9637636363636375,7.635,30.516129032258064,0.15000000000000002,0.0,0.0058571428571428576,206.75571428571428,2079.0,257.74999999999994,709.62500000000011,796.245,226.62,99.4975,152508.75,0.33730158730158732,29.056150698122295,1.8519543410584558
