ponds_id,cycles_id,length,width,deep,total_seed,started_at,finished_at,area,padat_tebar,cycle_day_count,count_feed,sum_feed_weight,count_fasting,sum_size_per_kg,sum_weight_biomassa,sum_biomassa,avg_morning_temperature,avg_evening_temperature,avg_morning_do,avg_evening_do,avg_morning_salinity,avg_evening_salinity,avg_morning_pH,avg_evening_pH,avg_transparency,avg_ammonia,avg_nitrate,avg_nitrite,avg_alkalinity,avg_hardness,avg_calcium,avg_magnesium,avg_carbonate,avg_bicarbonate,avg_tom,avg_total_plankton,ADG,SR,FCR
9986,18923,68.31,51.23,1.35,574000,2022-02-05 00:00:00.000000 UTC,2022-04-21 00:00:00.000000 UTC,3500.0,164.0,75,315,7663.0,,100.0,3290.25,164512.5,29.4,,4.99,,33.0,33.0,8.3,8.3,,,,,,,,,,,,,0.43252721088435375,28.660714285714285,2.329002355444115
12273,17831,36.51,27.39,1.0,75900,2022-04-11 00:00:00.000000 UTC,2022-06-25 00:00:00.000000 UTC,1000.0,75.9,75,406,1040.5,1.0,171.9,242.45,16410.405,28.456797468354431,30.710148148148143,6.4475759493670877,7.3712716049382729,21.134012499999994,19.721283950617291,7.9370249999999993,7.9380000000000006,50.866666666666653,,,,100.0,7000.0,1800.0,5200.0,,100.0,,20000.0,0.2442,21.621086956521737,4.2916065168075894
31460,21944,55.29,41.47,1.2,192764,2022-05-11 00:00:00.000000 UTC,2022-07-16 00:00:00.000000 UTC,1000.0,192.764,66,213,672.0,7.0,433.5,218.84,45446.9964,27.150684931506852,29.309859154929576,,,28.723684210526311,28.593749999999996,8.3092105263157912,8.49861111111111,51.43333333333333,,,0.059750000000000004,135.66666666666666,5158.333333333333,410.33333333333331,1153.75,14.999999999999998,120.66666666666667,87.9090909090909,1458750.0,0.10904761904761906,23.576495818721341,3.0707366112228112
33297,15221,28.0,24.0,150.0,150000,2022-06-12 00:00:00.000000 UTC,2022-08-07 00:00:00.000000 UTC,672.0,223.21428571428572,56,218,820.27999999999986,0.0,150.0,600.0,90000.0,25.701903846153851,28.95675510204082,5.5645833333333341,7.6493181818181819,17.956576923076923,46.244579999999992,7.77873076923077,8.306,,,0.82500000000000007,0.0,118.0,,,,0.0,118.0,104.47749999999999,1530000.0,0.22566666666666665,60.0,1.3671333333333331
34705,17738,70.71,70.71,1.5,300000,2022-11-14 00:00:00.000000 UTC,2023-01-27 00:00:00.000000 UTC,2425.5,123.68583797155226,74,375,5020.0,,13.0,2554.0,33202.0,29.131735159780831,30.160810810756757,4.4818287037222229,6.1081402831621618,33.714285714285715,,8.16969696969697,8.3049019607941172,35.079365079365083,,,0.18845454545454546,221.8,,,,,,,,0.26696428571428565,11.067333333333334,1.9655442443226312
16053,15017,49.27,36.96,2.0,338194,2022-03-06 00:00:00.000000 UTC,2022-05-12 00:00:00.000000 UTC,1620.0,208.76172839506174,67,68,4109.9000000000005,2.0,79.9,2071.72,165530.42799999999,28.617830769230764,30.648953125000002,5.5475989583281269,6.2778524590163949,23.361815384615383,22.99689230769231,8.045584615384616,,42.651515151515149,,,,,,,,,,,16.625,0.2804,48.9454064826697,1.9838105535497079
35566,17405,40.0,35.0,1.2,210000,2022-11-14 00:00:00.000000 UTC,2023-02-12 00:00:00.000000 UTC,1400.0,150.0,90,583,3400.8079999999995,11.0,317.75,1160.74,99365.127499999988,27.265761111111118,28.448255555555551,5.5564888888888877,5.6417111111111122,15.75865934065934,15.612433333333337,7.8447611111111106,8.1372121212121211,38.9,0.0,,1.1166666666666667,96.666666666666671,,200.0,583.33333333333337,,,,100.83333333333333,0.20780952380952381,47.316727380952372,2.929861984596033
37346,15499,40.0,40.0,1.2,160000,2022-12-04 00:00:00.000000 UTC,2023-04-18 00:00:00.000000 UTC,1600.0,100.0,135,769,4816.3249999999971,8.0,41.0,741.5,30401.5,27.182835820895527,28.7582962962963,4.9616044776119415,5.4387111111111084,16.650447761194041,16.577703703703708,8.0162462686567153,8.4393939393939359,42.182835820895519,0.61538461538461542,,0.16666666666666669,124.78571428571428,,271.99999999999994,606.73076923076928,,,,732368.42105263169,0.24625850340136055,19.0009375,6.4953809844908932
12552,20600,61.1,45.83,1.5,264000,2022-05-15 00:00:00.000000 UTC,2022-08-03 00:00:00.000000 UTC,2800.0,94.285714285714292,80,127,6565.0,1.0,62.36,3875.07,241649.3652,27.03731343283582,29.494029850746266,,,,,7.9522388059701488,8.4744186046511647,65.22051282044616,,,,,,,,,,,,0.23428571428571432,91.533850454545444,1.6941629441532668
21965,20667,57.74,43.3,1.5,312500,2021-04-07 00:00:00.000000 UTC,2021-07-29 00:00:00.000000 UTC,2500.0,125.0,113,445,6749.7999999999956,,86.64,2467.23,106880.40359999999,30.450458715596326,29.150891089108907,5.50302752293578,5.3436633663366324,24.428571428571427,,7.9071171171171173,8.4522522522522561,36.459090909090904,70.0,0.2,0.081875,129.05882352941177,3792.6976470588233,191.47058823529412,806.94117647058829,10.52941176470588,118.5294117647059,90.666,221315.78947368418,0.25995421245421241,34.201729152,2.7357806122655752
36526,18056,53.0,53.0,1.25,335200,2022-09-10 00:00:00.000000 UTC,2023-01-08 00:00:00.000000 UTC,2809.0,119.33072267710929,120,432,7262.0,0.0,88.0,2514.8,221302.40000000002,28.873333333333328,30.7267441860465,4.4350561797752794,5.6320930232558144,26.916071428571428,26.674107142857139,7.7383035714285722,8.2315151515151559,32.877777777777759,0.6,1.2999999999999998,0.46666666666666667,163.3,5040.92075,302.1,1302.0210000000002,,,,605387.18269230786,0.12581547619047617,66.021002386634848,2.88770478765707
